iter	Passed	Remaining
585	41760	29502
586	41827	29428
587	41893	29353
588	41957	29277
589	42024	29203
590	42092	29130
591	42169	29062
592	42237	28989
593	42301	28912
594	42365	28836
595	42435	28765
596	42499	28689
597	42583	28626
598	42644	28548
599	42708	28472
600	42771	28395
601	42835	28319
602	42903	28246
603	42970	28172
604	43035	28097
605	43099	28021
606	43172	27951
607	43234	27875
608	43309	27806
609	43377	27733
610	43443	27658
611	43508	27583
612	43584	27516
613	43649	27440
614	43712	27364
615	43776	27289
616	43838	27212
617	43908	27141
618	43969	27063
619	44062	27006
620	44159	26950
621	44247	26889
622	44331	26826
623	44412	26761
624	44494	26696
625	44589	26639
626	44672	26575
627	44748	26507
628	44830	26442
629	44910	26376
630	44980	26304
631	45074	26245
632	45160	26183
633	45242	26118
634	45329	26055
635	45409	25989
636	45496	25926
637	45607	25877
638	45716	25827
639	45813	25769
640	45913	25714
641	46018	25661
642	46109	25600
643	46200	25539
644	46290	25477
645	46376	25413
646	46460	25348
647	46563	25293
648	46639	25224
649	46700	25146
650	46762	25069
651	46821	24990
652	46896	24920
653	46983	24856
654	47062	24788
655	47127	24713
656	47198	24641
657	47265	24566
658	47331	24491
659	47372	24403
660	47447	24334
661	47535	24270
662	47611	24200
663	47673	24124
664	47757	24058
665	47834	23988
666	47911	23920
667	47994	23853
668	48075	23786
669	48156	23718
670	48232	23649
671	48299	23574
672	48373	23503
673	48445	23432
674	48527	23365
675	48601	23294
676	48672	23221
677	48738	23146
678	48804	23072
679	48873	22999
680	48945	22927
681	49014	22854
682	49082	22780
683	49148	22706
684	49218	22633
685	49285	22559
686	49351	22484
687	49420	22411
688	49490	22338
689	49564	22268
690	49637	22196
691	49703	22122
692	49767	22047
693	49832	21972
694	49898	21897
695	49968	21825
696	50047	21756
697	50115	21683
698	50190	21612
699	50262	21541
700	50335	21469
701	50405	21396
702	50479	21326
703	50572	21263
704	50658	21197
705	50737	21128
706	50810	21057
707	50894	20990
708	50974	20921
709	51075	20861
710	51161	20795
711	51249	20730
712	51351	20670
713	51424	20598
714	51488	20523
715	51541	20443
716	51624	20376
717	51706	20308
718	51782	20237
719	51859	20167
720	51934	20096
721	52020	20029
722	52101	19961
723	52195	19897
724	52287	19833
725	52364	19762
726	52448	19695
727	52539	19630
728	52625	19563
729	52704	19493
730	52774	19420
731	52852	19350
732	52917	19275
733	52984	19201
734	53055	19128
735	53122	19054
736	53187	18980
737	53254	18906
738	53327	18834
739	53412	18766
740	53497	18698
741	53586	18632
742	53670	18564
743	53751	18495
744	53826	18423
745	53895	18350
746	53967	18278
747	54034	18204
748	54105	18131
749	54181	18060
750	54256	17989
751	54332	17918
752	54411	17848
753	54452	17765
754	54538	17697
755	54615	17627
756	54680	17552
757	54749	17479
758	54816	17405
759	54890	17333
760	54960	17260
761	55029	17187
762	55097	17114
763	55160	17039
764	55233	16967
765	55303	16894
766	55390	16826
767	55456	16752
